Date,volume,open,close,high,low,Adj Close
2018-01-02 14:30:00,13578800,107.62999725341797,107.94999694824219,108.0199966430664,106.80999755859375,85.9012680053711
2018-01-03 14:30:00,11901000,107.86000061035156,108.05999755859375,108.48999786376953,107.4800033569336,85.9887924194336
2018-01-04 14:30:00,12953700,108.36000061035156,109.04000091552734,110.02999877929688,108.19999694824219,87.22064208984375
2018-01-05 14:30:00,14155000,109.26000213623047,108.33999633789062,109.55000305175781,107.77999877929688,86.66072082519531
2018-01-08 14:30:00,12466500,108.1500015258789,108.5,108.68000030517578,107.69999694824219,86.7886962890625
2018-01-09 14:30:00,13292300,108.72000122070312,109.05000305175781,109.62999725341797,108.48999786376953,87.2286605834961
2018-01-10 14:30:00,15834500,109.47000122070312,110.25,110.69999694824219,109.38999938964844,88.18852233886719
2018-01-11 14:30:00,13676800,110.66999816894531,110.83999633789062,110.93000030517578,110.05000305175781,88.66046142578125
2018-01-12 14:30:00,18884200,111.6500015258789,112.66999816894531,112.8499984741211,110.83999633789062,90.124267578125
2018-01-16 14:30:00,22703300,111.51000213623047,112.2699966430664,113.43000030517578,111.06999969482422,89.80432891845703
2018-01-17 14:30:00,14940300,111.88999938964844,112.98999786376953,113.30000305175781,111.30999755859375,90.38024139404297
2018-01-18 14:30:00,14572900,112.76000213623047,113.26000213623047,113.72000122070312,112.2699966430664,90.59619140625
2018-01-19 14:30:00,18785500,113.94000244140625,113.01000213623047,114.33999633789062,112.80000305175781,90.396240234375
2018-01-22 14:30:00,12475700,112.66000366210938,114.33000183105469,114.38999938964844,112.5,91.45211791992188
2018-01-23 14:30:00,12320800,113.66999816894531,114.20999908447266,114.63999938964844,113.3499984741211,91.3561019897461
2018-01-24 14:30:00,15904500,114.86000061035156,115.66999816894531,116.0,114.66000366210938,92.52395629882812
2018-01-25 14:30:00,13510000,116.04000091552734,115.69999694824219,116.16999816894531,115.08000183105469,92.54795837402344
2018-01-26 14:30:00,13883900,115.69999694824219,116.31999969482422,116.31999969482422,114.95999908447266,93.04388427734375
2018-01-29 14:30:00,11679900,116.0199966430664,116.19999694824219,117.3499984741211,116.0199966430664,92.94789123535156
2018-01-30 14:30:00,14279100,115.52999877929688,115.11000061035156,116.5999984741211,114.9800033569336,92.07599639892578
2018-01-31 14:30:00,13141400,115.6500015258789,115.66999816894531,116.66000366210938,115.16000366210938,92.52395629882812
2018-02-01 14:30:00,13800600,115.7699966430664,116.87000274658203,116.98999786376953,115.4800033569336,93.48381042480469
2018-02-02 14:30:00,16477300,116.48999786376953,114.27999877929688,116.91999816894531,114.08999633789062,91.41210174560547
2018-02-05 14:30:00,30097600,113.0,108.80000305175781,114.58999633789062,103.9800033569336,87.02865600585938
2018-02-06 14:30:00,33114800,106.8499984741211,112.11000061035156,112.4800033569336,106.61000061035156,89.67633056640625
2018-02-07 14:30:00,21878300,111.55000305175781,112.87000274658203,114.44999694824219,111.1500015258789,90.28424072265625
2018-02-08 14:30:00,27425800,113.11000061035156,107.87999725341797,113.11000061035156,107.83999633789062,86.29275512695312
2018-02-09 14:30:00,28188000,109.0999984741211,110.04000091552734,111.05000305175781,106.2300033569336,88.0205307006836
2018-02-12 14:30:00,18043300,111.16999816894531,111.73999786376953,112.7300033569336,110.06999969482422,89.38035583496094
2018-02-13 14:30:00,16358200,111.31999969482422,112.43000030517578,113.05000305175781,110.80000305175781,89.93226623535156
2018-02-14 14:30:00,15186900,112.62999725341797,115.02999877929688,115.2699966430664,112.52999877929688,92.01200866699219
2018-02-15 14:30:00,12130200,115.73999786376953,115.51000213623047,115.98999786376953,114.22000122070312,92.39596557617188
2018-02-16 14:30:00,13214300,114.55000305175781,114.68000030517578,116.06999969482422,114.5,91.73204040527344
2018-02-20 14:30:00,13461500,114.6500015258789,114.70999908447266,115.38999938964844,113.97000122070312,91.75606536865234
